Sr.No,Product Name,Price,Rating,Url,No. of Reviews
11,Urban Tribe Jumbo Backpack with 17.3 inch Gaming Laptop Compartment - 29L Bag with Anti Theft Lock Zippers,"Rs1,498",4.1 out of 5 stars,https://amazon.in/sspa/click?ie=UTF8&spc=MTo0NjQ0MDEyNzg4MDQ4NzE6MTY3NTQwMTE5MTpzcF9tdGY6MjAxMDQxNDAyNjM4OTg6OjA6Og&url=%2FUrban-Tribe-Laptop-Backpack-Jumbo%2Fdp%2FB01MSRADRY%2Fref%3Dsr_1_12_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbag%26qid%3D1675401191%26sprefix%3Dba%252Caps%252C283ref%253Dsr_pg_1%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1%26smid%3DA385M0TPSNV7VS,198
12,Skybags Brat Black 46 Cms Casual Backpack,Rs669,4.1 out of 5 stars,https://amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bag&qid=1675401191&sprefix=ba%2Caps%2C283ref%3Dsr_pg_1&sr=8-13,"3,368"
13,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",Rs689,3.9 out of 5 stars,https://amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7/ref=sr_1_14?crid=2M096C61O4MLT&keywords=bag&qid=1675401191&sprefix=ba%2Caps%2C283ref%3Dsr_pg_1&sr=8-14,"2,692"
14,NIVIA Basic Duffle Polyester Bag/Gym Bags/Adjustable Shoulder Bag for Men/Duffle Gym Bags for Men/Fitness Bag/Carry Bags/Sports & Travel Bag/Sports Kit/Duffle Bags Travel,Rs239,4.0 out of 5 stars,https://amazon.in/Nivia-6853-Polyester-Basic-Duffle/dp/B07FWQ9HRV/ref=sr_1_15?crid=2M096C61O4MLT&keywords=bag&qid=1675401191&sprefix=ba%2Caps%2C283ref%3Dsr_pg_1&sr=8-15,"1,983"
15,Northzone Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L,Rs510,5.0 out of 5 stars,https://amazon.in/Northzone-Waterproof-Backpack-Business-Dimensions/dp/B0BS6QQZYN/ref=sr_1_16?crid=2M096C61O4MLT&keywords=bag&qid=1675401191&sprefix=ba%2Caps%2C283ref%3Dsr_pg_1&sr=8-16,2
16,"Safari Hitech 35 Ltrs Water Resistant Backpack - Blue, L (Hitech19Cbblu)",Rs899,4.0 out of 5 stars,https://amazon.in/Safari-HiTech-Water-Resistant-Backpack/dp/B09B27B1Q6/ref=sr_1_17?crid=2M096C61O4MLT&keywords=bag&qid=1675401191&sprefix=ba%2Caps%2C283ref%3Dsr_pg_1&sr=8-17,779
17,Lavie Sport Lino Large Size 63 cms Wheel Duffle Bag for Travel | Travel Bag with Trolley,Rs999,4.0 out of 5 stars,https://amazon.in/Lavie-Sport-Duffle-Luggage-Trolley/dp/B097RJ22Q3/ref=sr_1_18?crid=2M096C61O4MLT&keywords=bag&qid=1675401191&sprefix=ba%2Caps%2C283ref%3Dsr_pg_1&sr=8-18,"5,790"
18,Gear Aspire 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black),"Rs1,247",4.3 out of 5 stars,https://amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP/ref=sr_1_19?crid=2M096C61O4MLT&keywords=bag&qid=1675401191&sprefix=ba%2Caps%2C283ref%3Dsr_pg_1&sr=8-19,"4,878"
19,Martucci 15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack(Black),Rs565,4.0 out of 5 stars,https://amazon.in/Martucci-Casual-Travelling-Laptop-Backpack/dp/B088B4P6ZW/ref=sr_1_20?crid=2M096C61O4MLT&keywords=bag&qid=1675401191&sprefix=ba%2Caps%2C283ref%3Dsr_pg_1&sr=8-20,"6,987"
20,"Wenger 17.5"" ScanSmart Laptop Backpack, 30 Litres, Black, Swiss Designed-blend of style & function, 612014","Rs5,600",4.0 out of 5 stars,https://amazon.in/sspa/click?ie=UTF8&spc=MTo0NjQ0MDEyNzg4MDQ4NzE6MTY3NTQwMTE5MTpzcF9idGY6MjAwNzg5MjA3NzkzOTg6OjA6Og&url=%2FScanSmart-Backpack-Designed-blend-function-612014%2Fdp%2FB09V1GJ7D6%2Fref%3Dsr_1_21_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbag%26qid%3D1675401191%26sprefix%3Dba%252Caps%252C283ref%253Dsr_pg_1%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,21
21,Chris & Kate Grey Khadi Water Resistant Polyester Backpack for School | College | Office Use With Laptop Compartment,Rs649,5.0 out of 5 stars,https://amazon.in/sspa/click?ie=UTF8&spc=MTo0NjQ0MDEyNzg4MDQ4NzE6MTY3NTQwMTE5MTpzcF9idGY6MjAwOTE3MDIwOTI5OTg6OjA6Og&url=%2FChris-Kate-Resistant-Polyester-Compartment%2Fdp%2FB0BKZLJZVF%2Fref%3Dsr_1_22_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbag%26qid%3D1675401191%26sprefix%3Dba%252Caps%252C283ref%253Dsr_pg_1%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,1
